format,question,sequence,page
m4,My teacher clearly expresses expectations for my learning and performance in this class.,10,1
m4,My teacher clearly explains concepts and lessons.,20,1
m4,My teacher uses various teaching methods that enhance my learning.,30,1
m4,My teacher helps me or other students who need additional assistance.,40,1
m4,My teacher uses effective student discipline/classroom management.,50,1
m4,My teacher is well organized and prepared.,60,1
m4,My teacher uses technology to advance my learning.,70,1
m4,My teacher cares about the subject matter.,80,1
m4,My teacher cares about the students.,90,1
m4,I am motivated to work hard in this class.,100,1
m4,I have learned a lot in this class.,110,1
m4,"Overall, my teacher is an effective teacher.",120,1
