"question_type","question","label","group"
"m4","My teacher clearly expresses expectations for my learning and performance in this class.","student eval","high school"
"m4","My teacher clearly explains concepts and lessons.","student eval","high school"
"m4","My teacher uses various teaching methods that enhance my learning.","student eval","high school"
"m4","My teacher helps me or other students who need additional assistance.","student eval","high school"
"m4","My teacher uses effective student discipline/classroom management.","student eval","high school"
"m4","My teacher is well organized and prepared.","student eval","high school"
"m4","My teacher uses technology to advance my learning.","student eval","high school"
"m4","My teacher cares about the subject matter.","student eval","high school"
"m4","My teacher cares about the students.","student eval","high school"
"m4","I am motivated to work hard in this class.","student eval","high school"
"m4","I have learned a lot in this class.","student eval","high school"
"m4","Overall, my teacher is an effective teacher.","student eval","high school"
